ticker,start_date,end_date,n_rows
1925.T,2024-08-19,2025-08-18,244
1928.T,2024-08-19,2025-08-18,244
2413.T,2024-08-19,2025-08-18,244
2502.T,2024-08-19,2025-08-18,244
2503.T,2024-08-19,2025-08-18,244
2802.T,2024-08-19,2025-08-18,244
2914.T,2024-08-19,2025-08-18,244
3382.T,2024-08-19,2025-08-18,244
3402.T,2024-08-19,2025-08-18,244
3407.T,2024-08-19,2025-08-18,244
4063.T,2024-08-19,2025-08-18,244
4188.T,2024-08-19,2025-08-18,244
4452.T,2024-08-19,2025-08-18,244
4502.T,2024-08-19,2025-08-18,244
4503.T,2024-08-19,2025-08-18,244
4507.T,2024-08-19,2025-08-18,244
4519.T,2024-08-19,2025-08-18,244
4523.T,2024-08-19,2025-08-18,244
4528.T,2024-08-19,2025-08-18,244
4543.T,2024-08-19,2025-08-18,244
4568.T,2024-08-19,2025-08-18,244
4578.T,2024-08-19,2025-08-18,244
4661.T,2024-08-19,2025-08-18,244
4689.T,2024-08-19,2025-08-18,244
4901.T,2024-08-19,2025-08-18,244
4911.T,2024-08-19,2025-08-18,244
5020.T,2024-08-19,2025-08-18,244
5108.T,2024-08-19,2025-08-18,244
5401.T,2024-08-19,2025-08-18,244
5713.T,2024-08-19,2025-08-18,244
5802.T,2024-08-19,2025-08-18,244
6098.T,2024-08-19,2025-08-18,244
6178.T,2024-08-19,2025-08-18,244
6273.T,2024-08-19,2025-08-18,244
6301.T,2024-08-19,2025-08-18,244
6326.T,2024-08-19,2025-08-18,244
6367.T,2024-08-19,2025-08-18,244
6501.T,2024-08-19,2025-08-18,244
6503.T,2024-08-19,2025-08-18,244
6594.T,2024-08-19,2025-08-18,244
6645.T,2024-08-19,2025-08-18,244
6702.T,2024-08-19,2025-08-18,244
6723.T,2024-08-19,2025-08-18,244
6752.T,2024-08-19,2025-08-18,244
6758.T,2024-08-19,2025-08-18,244
6861.T,2024-08-19,2025-08-18,244
6869.T,2024-08-19,2025-08-18,244
6902.T,2024-08-19,2025-08-18,244
6920.T,2024-08-19,2025-08-18,244
6954.T,2024-08-19,2025-08-18,244
6971.T,2024-08-19,2025-08-18,244
6981.T,2024-08-19,2025-08-18,244
7011.T,2024-08-19,2025-08-18,244
7201.T,2024-08-19,2025-08-18,244
7203.T,2024-08-19,2025-08-18,244
7267.T,2024-08-19,2025-08-18,244
7269.T,2024-08-19,2025-08-18,244
7270.T,2024-08-19,2025-08-18,244
7309.T,2024-08-19,2025-08-18,244
7733.T,2024-08-19,2025-08-18,244
7741.T,2024-08-19,2025-08-18,244
7751.T,2024-08-19,2025-08-18,244
7832.T,2024-08-19,2025-08-18,244
7974.T,2024-08-19,2025-08-18,244
8001.T,2024-08-19,2025-08-18,244
8002.T,2024-08-19,2025-08-18,244
8031.T,2024-08-19,2025-08-18,244
8035.T,2024-08-19,2025-08-18,244
8053.T,2024-08-19,2025-08-18,244
8058.T,2024-08-19,2025-08-18,244
8113.T,2024-08-19,2025-08-18,244
8267.T,2024-08-19,2025-08-18,244
8306.T,2024-08-19,2025-08-18,244
8308.T,2024-08-19,2025-08-18,244
8309.T,2024-08-19,2025-08-18,244
8316.T,2024-08-19,2025-08-18,244
8411.T,2024-08-19,2025-08-18,244
8591.T,2024-08-19,2025-08-18,244
8604.T,2024-08-19,2025-08-18,244
8630.T,2024-08-19,2025-08-18,244
8697.T,2024-08-19,2025-08-18,244
8725.T,2024-08-19,2025-08-18,244
8750.T,2024-08-19,2025-08-18,244
8766.T,2024-08-19,2025-08-18,244
8801.T,2024-08-19,2025-08-18,244
8802.T,2024-08-19,2025-08-18,244
8830.T,2024-08-19,2025-08-18,244
9020.T,2024-08-19,2025-08-18,244
9021.T,2024-08-19,2025-08-18,244
9022.T,2024-08-19,2025-08-18,244
9101.T,2024-08-19,2025-08-18,244
9202.T,2024-08-19,2025-08-18,244
9432.T,2024-08-19,2025-08-18,244
9433.T,2024-08-19,2025-08-18,244
9434.T,2024-08-19,2025-08-18,244
9735.T,2024-08-19,2025-08-18,244
9843.T,2024-08-19,2025-08-18,244
9983.T,2024-08-19,2025-08-18,244
9984.T,2024-08-19,2025-08-18,244
